"Name","Key"
"DC-VCFRA-P-BAT-BNO","dvportgroup-75762"
"ngdt2-wkld01-win01-vds01-pg-vmotion","dvportgroup-15"
"DC-VCFRA-P-HLD-MAT","dvportgroup-75766"
"DC-VCFRA-P-BAT-HAB","dvportgroup-75784"
"seg-res-hpr-ngdt2-1","dvportgroup-768595"
"DC-VCFRA-P-ROF-RSO","dvportgroup-75776"
"DC-VCFRA-P-BAT-OFN","dvportgroup-75780"
"VCF-edge_ngdt2-wkld01-ec1_PG-ngdt2-wkld01-win01-vds02-External-2","dvportgroup-669899"
"DC-VIC-E-NSX-DNS-5078","dvportgroup-182654"
"DC-VIC-E-SEG-VC-IC-PROX","dvportgroup-283"
"L2E_DPortGroup254-254-8ADEA94F","dvportgroup-3365"
"DC-VCFRA-P-APPS","dvportgroup-31015"
"DC-VCFRA-H-HEARTBEAT","dvportgroup-44214"
"DC-VIC-E-NSX-DNS","dvportgroup-304683"
"edge_ngdt2-wkld01-ec01_PG-ngdt2-wkld01-cl01-vds02-External-1","dvportgroup-42"
"vgp-PROD-Enc-seg","dvportgroup-86235"
"DC-VCFRA-REG-07-FRONT","dvportgroup-31034"
"ngdt2-wkld01-win01-vds01-pg-VIC-E-INFR-DNS","dvportgroup-513724"
"DC-VCFRA-P-ROF-RNB","dvportgroup-75770"
"Surebckp-VirtualLab-WIN-PA4","key-vim.host.PortGroup-Surebckp-VirtualLab-WIN-PA4"
"Surebckp-VirtualLab-WIN-PA3","key-vim.host.PortGroup-Surebckp-VirtualLab-WIN-PA3"
"seg-khe-hpr-ngdt2-1","dvportgroup-768604"
"seg-khe-prd-ngdt2-1","dvportgroup-762992"
"DC-VCFRA-P-BACK","dvportgroup-31014"
"DC-VIC-E-NSX-DMZ-5038","dvportgroup-182652"
"seg-dmz-prd-ngdt2-1","dvportgroup-164333"
"DC-VIC-E-PPD-FRONT-3250","dvportgroup-163469"
"DC-VIC-E-PPD-BACK-3252","dvportgroup-163470"
"DC-VIC-E-PRD-APP-3301","dvportgroup-163454"
"DC-VIC-E-PRD-BACK-3302","dvportgroup-163467"
"DC-VIC-E-TST-BACK-3202","dvportgroup-163483"
"seg-dmz-hpr-ngdt2-1","dvportgroup-164330"
"seg-lan-ppd-ngdt2-1","dvportgroup-164321"
"DC-VIC-E-NSX-DMZ-5051","dvportgroup-178168"
"DC-VIC-E-DEV-FRONT-3150","dvportgroup-163484"
"L2E_VIC-E-PRD-FRONT-3300-ee364f6b","dvportgroup-163482"
"DC-VCEA-P-HEARTBEAT","dvportgroup-92302"
"DC-VCFRA-P-LEG-BACK","dvportgroup-57310"
"DC-VCFRA-P-BAT-BNO","dvportgroup-75763"
"DC-VCFRA-P-BAT-OFN","dvportgroup-75781"
"DC-VCFRA-P-ROF-RIN","dvportgroup-75773"
"DC-VCFRA-P-LEG-INFRA","dvportgroup-57308"
"Seg_VCSI-TEST","dvportgroup-83"
"DC-VCFRA-H-APPS","dvportgroup-26552"
"DC-VCFRA-P-BAT-BSO","dvportgroup-75841"
"DC-VCFRA-P-DPL-WINDOWS","dvportgroup-48030"
"DC-VIC-E-NSX-DNS-5078","dvportgroup-182655"
"DC-VCFRA-P-FRONT","dvportgroup-31018"
"DC-VCFRA-Z-BACK","dvportgroup-31050"
"DC-VCFRA-P-ROF-RSO","dvportgroup-75777"
"DC-VIC-E-DEV-BACK-3152","dvportgroup-163465"
"DC-VCFRA-P-ROF-RSU","dvportgroup-75779"
"DC-VIN-DMZ-5076","dvportgroup-18600"
"DC-VCFRA-H-FRONT","dvportgroup-23909"
"seg-res-ppd-ngdt2-1","dvportgroup-768592"
"DC-VCFRA-P-BACKUP-REPLI","dvportgroup-75857"
"DC-VCFRA-P-BAT-BCE","dvportgroup-75759"
"DC-VIC-E-TST-FRONT-3200","dvportgroup-163466"
"L2E_DPortGroup254-254-8ADEA94F","dvportgroup-3366"
"L2E_L2-VIC-E-TST-FRON-5017-ee364f6b","dvportgroup-237"
"DC-VCFRA-P-REF-DER","dvportgroup-75845"
"DC-VCFRA-P-HLD-COM","dvportgroup-75855"
"DC-VCFRA-P-LEG-APP","dvportgroup-57307"
"DC-VCFRA-REG-07-BACK","dvportgroup-31032"
"DC-VCFRA-P-TOIP","dvportgroup-31028"
"sof-PPD-seg","dvportgroup-17604"
"seg-res-prd-ngdt2-1","dvportgroup-762995"
"DC-VCFRA-P-GCF-GSF","dvportgroup-75851"
"DC-VCFRA-D-BACK","dvportgroup-31012"
"NSX-S_VCSI_PRD_VC_SI_5015","dvportgroup-152261"
"DC-VCFRA-P-HEARTBEAT","dvportgroup-58768"
"DC-VCFRA-P-ROF-RNB","dvportgroup-75771"
"DC-VCFRA-H-MAG","dvportgroup-26554"
"sof-DMZ-seg","dvportgroup-3369"
"DC-VCFRA-D-FRONT","dvportgroup-31010"
"DC-VCFRA-P-ROF-RCE","dvportgroup-75775"
"seg-lan-hpr-ngdt2-1","dvportgroup-164327"
"ngdt2-wkld01-sql-DVUplinks-52","dvportgroup-53"
"DC-VIC-E-NSX-VC-S-5034","dvportgroup-163468"
"DC-VCFRA-P-GCF-GSU","dvportgroup-75853"
"DC-VIC-E-NSX-PRD","dvportgroup-662450"
"ngdt2-wkld01-sql01-vds01-pg-mgmt","dvportgroup-56"
"DC-VIC-E-NSX-DMZ-5037","dvportgroup-158238"
"DC-VCFRA-P-RES","dvportgroup-58766"
"DC-VIC-E-SEG-VC-IC-PROX","dvportgroup-284"
"seg-res-hpr-ngdt2-1","dvportgroup-768596"
"DC-VCFRA-P-BAT-BSE","dvportgroup-75761"
"test-kevin-nsx-bgp-seg02","dvportgroup-655094"
"DC-VCFRA-REG-07-FRONT","dvportgroup-31036"
"ngdt2-wkld01-sql-DVUplinks-54","dvportgroup-55"
"vgp-PROD-Enc-seg","dvportgroup-86236"
"ngdt2-wkld01-sql01-vds01-pg-vmotion","dvportgroup-57"
"sof-PRD-seg","dvportgroup-3130"
"vgp-DMZ-Mid-seg","dvportgroup-86230"
"DC-VCFRA-REG-DHCP","dvportgroup-44269"
"sof-DEV-seg","dvportgroup-17602"
"DC-VCFRA-P-APPS","dvportgroup-31016"
"NSX-S_VCSI_PRD_INF_NETWORK","dvportgroup-53845"
"vgp-DMZ-Back-seg","dvportgroup-86232"
"DC-VCFRA-Z-FRONT","dvportgroup-31052"
"seg-lan-prd-ngdt2-1","dvportgroup-162881"
"DC-VCFRA-H-BACK","dvportgroup-26553"
"DC-VCFRA-P-REF-RTF","dvportgroup-75843"
"DC-VCFRA-P-ADMINISTRATION","dvportgroup-31035"
"test-kevin-nsx-bgp-seg01","dvportgroup-646202"
"DC-VCFRA-P-BAT-OFR","dvportgroup-75783"
"DC-VCFRA-P-BAT-HAB","dvportgroup-75785"
"seg-dmz-ppd-ngdt2-1","dvportgroup-164324"
"DC-VCFRA-P-BAT-ANS","dvportgroup-75787"
"DC-VCFRA-H-RES","dvportgroup-44212"
"DC-VIC-E-NSX-DNS","dvportgroup-304684"
"DC-VIN-PROD-5031","dvportgroup-119893"
"NSX-S_VCSI_PRD_POC-VPN","dvportgroup-53841"
"DC-VCFRA-P-GCF-GIN","dvportgroup-75765"
"ngdt2-wkld01-sql01-vds01-pg-bck","dvportgroup-285"
"vgp-PROD-seg","dvportgroup-86234"
"DC-VCFRA-P-BAT-BNE","dvportgroup-54757"
"NSX-S_VCSI_PRD_VC_SI_5","dvportgroup-163471"
"DC-VCFRA-P-LEG-CLIENT","dvportgroup-57304"
"DC-VCFRA-P-HLD-MAT","dvportgroup-75767"
"DC-VCFRA-P-REF-R2T","dvportgroup-60236"
"seg-khe-ppd-ngdt2-1","dvportgroup-768599"
"DC-VCFRA-P-GCF-GCE","dvportgroup-75847"
"DC-VCFRA-P-REF-RHY","dvportgroup-47164"
"DC-VIC-E-NSX-VC-S-5033","dvportgroup-163455"
"vgp-DMZ-Front-seg","dvportgroup-86228"
"DC-VCFRA-P-ROF-RCO","dvportgroup-75769"
"DC-VCFRA-P-GCF-GOU","dvportgroup-75849"
"NSX-S_SIDT_PRD","dvportgroup-56040"
"DC-VCFRA-H-HEARTBEAT","dvportgroup-44216"
"Surebckp-VirtualLab-SQL-PA4","key-vim.host.PortGroup-Surebckp-VirtualLab-SQL-PA4"
"Surebckp-VirtualLab-SQL-PA3","key-vim.host.PortGroup-Surebckp-VirtualLab-SQL-PA3"
